DefaultSC.A1ModJulian     DefaultSC.MOON_INERTIAL.X   DefaultSC.MOON_INERTIAL.Y   DefaultSC.MOON_INERTIAL.Z   DefaultSC.MOON_INERTIAL.VX   DefaultSC.MOON_INERTIAL.VY   DefaultSC.MOON_INERTIAL.VZ   DefaultSC.ElapsedSecs     
21545.04407234322         6275.151540805644           3101.980555563758           0.002101818230585195        -0.3708708554760585          0.7502376551238668           1.473103715787794e-06        3839.999999944121         
21545.04476678767         6252.73802434915            3146.914616112947           0.002191403153119609        -0.3762431559846124          0.7475579401480483           1.51313559332289e-06         3900.000000139698         
21545.04546123211         6230.002749299863           3191.686739002063           0.002283403489855118        -0.3815960959096282          0.7448397562653064           1.553617023031251e-06        3960.000000020955         
21545.04615567655         6206.946885561338           3236.294620282657           0.002377846103627235        -0.3869293998007471          0.7420832433404039           1.594543740213172e-06        4019.999999902211         
21545.046850121           6183.571619533934           3280.735964457504           0.002474757566233166        -0.3922427932179339          0.7392885432103051           1.63591143048647e-06         4080.000000097789         
21545.04754456544         6159.878154053644           3325.008484598482           0.002574164202087559        -0.397536002745597           0.736455799676878            1.677715729675455e-06        4139.999999979045         
21545.04823900989         6135.86770833045            3369.109902464552           0.002676092088222504        -0.4028087560066544          0.7335851584994952           1.71995222436605e-06         4199.999999860302         
21545.04893345433         6111.541517885402           3413.037948618468           0.0027805670251837          -0.4080607816765474          0.7306767673875336           1.762616452238852e-06        4260.000000055879         
21545.04962789878         6086.900834486994           3456.790362544067           0.002887614537030458        -0.4132918094971995          0.7277307759927749           1.805703902457712e-06        4319.999999937136         
21545.05032234322         6061.946926087025           3500.364892762387           0.0029972598713357          -0.4185015702909202          0.7247473359017054           1.849210015836267e-06        4380.000000132713         
21545.05101678767         6036.681076755049           3543.759296947333           0.003109528013737872        -0.4236897959742543          0.7217266006277164           1.893130185504077e-06        4440.00000001397          
21545.05171123211         6011.10458661255            3586.97134204139            0.003224443673389032        -0.4288562195717734          0.7186687256032059           1.937459756851112e-06        4499.999999895226         
21545.05240567656         5985.21877176594            3629.998804370349           0.003342031282954849        -0.4340005752298113          0.7155738681715816           1.982194028360418e-06        4560.000000090804         
21545.053100121           5959.024964238866           3672.839469757513           0.003462314969510771        -0.4391225982301414          0.7124421875791641           2.027328251497096e-06        4619.99999997206          
21545.05379456544         5932.524511903641           3715.491133638192           0.003585318569093943        -0.4442220250035958          0.7092738449669949           2.072857631485459e-06        4679.999999853317         
21545.05448900989         5905.718778411916           3757.951601172448           0.003711065684910864        -0.4492985931436252          0.7060690033625449           2.118777327475563e-06        4740.000000048894         
21545.05518345433         5878.609143124486           3800.21868735872            0.003839579556370154        -0.4543520414197988          0.7028278276713263           2.165082452931788e-06        4799.999999930151         
21545.05587789878         5851.197001040448           3842.290217145579           0.00397088319004979         -0.459382109791244           0.6995504846684089           2.211768076021414e-06        4860.000000125729         
21545.05657234322         5823.483762725198           3884.164025544131           0.004104999243281782        -0.4643885394200243          0.696237142989838            2.2588292200032e-06          4920.000000006985         
21545.05726678767         5795.470854238141           3925.837957739364           0.004241950111463666        -0.4693710726844561          0.6928879731239599           2.306260863782494e-06        4979.999999888241         
21545.05796123211         5767.159717059054           3967.30986920069            0.004381757855298929        -0.4743294531923624          0.689503147402649            2.354057941966747e-06        5040.000000083819         
21545.05865567656         5738.551808013988           4008.577625792706           0.004524444259004667        -0.4792634257942629          0.6860828399924415           2.402215345531644e-06        5099.999999965075         
21545.059350121           5709.648599200533           4049.639103884634           0.004670030801207758        -0.4841727365965012          0.6826272268855754           2.450727922098661e-06        5159.999999846332         
21545.06004456545         5680.451577911794           4090.492190459976           0.004818538611289114        -0.4890571329743065          0.6791364858909354           2.499590476434665e-06        5220.00000004191          
21545.06073900989         5650.962246559851           4131.134783224959           0.004969988556695171        -0.4939163635847898          0.6756107966249041           2.548797770784983e-06        5279.999999923166         
21545.06143345434         5621.18212259881            4171.564790716628           0.005124401141074486        -0.4987501783798752          0.6720503405021225           2.598344525150953e-06        5340.000000118744         
21545.06212789878         5591.112738446274           4211.780132410931           0.005281796577037312        -0.5035583286191637          0.6684553007261553           2.648225418011574e-06        5400                      
21545.06282234322         5560.755641404889           4251.778738829191           0.005442194757051766        -0.50834056688273            0.664825862280066            2.698435086601059e-06        5459.999999881256         
21545.06351678767         5530.112393582473           4291.558551645023           0.00560561525344383         -0.5130966470838515          0.6611622119168995           2.748968127075369e-06        5520.000000076834         
21545.06421123211         5499.184571811813           4331.117523789988           0.00577207728929352         -0.5178263244816678          0.6574645381500743           2.799819095455902e-06        5579.99999995809          
21545.06490567656         5467.973767569289           4370.453619559063           0.005941599796642549        -0.5225293556937727          0.6537330312436843           2.850982507518474e-06        5640.000000153668         
21545.065600121           5436.48158689338            4409.564814715413           0.006114201329182833        -0.5272054987087343          0.6499678832027092           2.90245283962598e-06         5700.000000034925         
21545.06629456544         5404.709650301724           4448.449096594297           0.006289900164119899        -0.5318545128985471          0.6461692877631372           2.954224528839422e-06        5759.999999916181         
21545.06698900989         5372.659592707641           4487.104464207019           0.006468714200309478        -0.5364761590310091          0.6423374403819984           3.006291973750574e-06        5820.000000111759         
21545.06768345433         5340.333063336555           4525.528928343556           0.006650661001913249        -0.5410701992820308          0.6384725382273079           3.058649534426472e-06        5879.999999993015         
21545.06837789878         5307.731725640479           4563.720511675056           0.006835757827502675        -0.5456363972478705          0.6345747801679233           3.111291533297589e-06        5939.999999874271         
21545.06907234322         5274.85725721292            4601.677248855645           0.00702402155729942         -0.5501745179572957          0.6306443667633131           3.164212255324372e-06        6000.000000069849         
21545.06976678767         5241.711349702266           4639.397186623421           0.007215468751383014        -0.5546843278836712          0.6266815002532391           3.217405948552354e-06        6059.999999951106         
21545.07046123211         5208.29570872488            4676.878383901028           0.007410115620587021        -0.559165594956974           0.6226863845473514           3.270866824611751e-06        6120.000000146683         
21545.07115567656         5174.612053777499           4714.118911895494           0.00760797799739521         -0.5636180885757319          0.6186592252146986           3.324589059106042e-06        6180.00000002794          
21545.071850121           5140.66211814835            4751.11685419752            0.007809071423253044        -0.5680415796188867          0.6146002294731528           3.378566791889526e-06        6239.999999909196         
21545.07254456545         5106.447648828325           4787.870306880097           0.008013411017600447        -0.5724358404575819          0.6105096061787481           3.432794128011007e-06        6300.000000104774         
21545.07323900989         5071.970406420995           4824.377378596517           0.008221011579735205        -0.5768006449668732          0.6063875658149366           3.48726513760278e-06         6359.99999998603          
21545.07393345433         5037.23216505209            4860.636190677469           0.008431887574261054        -0.5811357685373623          0.6022343204817604           3.541973856768799e-06        6419.999999867287         
21545.07462789878         5002.234712278005           4896.644877227955           0.008646053087431937        -0.5854409880867509          0.5980500838849402           3.596914287973263e-06        6480.000000062864         
21545.07532234322         4966.979848994              4932.401585223328           0.008863521812600084        -0.5897160820713193          0.5938350713248806           3.652080400262658e-06        6539.999999944121         
